-3688, -2668, -825, 12014, 1357, 3166
-3714, -3138, -676, 13023, 156, 2422
-3794, -3768, -318, 12673, -112, 1101
-4031, -4416, -29, 12274, -1094, -2049
-4339, -4947, 139, 11480, -4347, -5290
-4655, -5381, 252, 9303, -6455, -7742
-5039, -5727, 271, 7880, -6966, -10268
-5488, -5914, 164, 7714, -7682, -13076
-5941, -5886, -22, 8453, -8365, -15154
-6365, -5631, -279, 9043, -9172, -16357
-6655, -5215, -601, 9290, -9847, -16582
-6746, -4692, -927, 8998, -9631, -16393
-6626, -4063, -1216, 8631, -8555, -16249
-6361, -3329, -1428, 8635, -6946, -15954
-5969, -2561, -1537, 8766, -5352, -13544
-5494, -1820, -1547, 8365, -4016, -10104
-4977, -1148, -1478, 7401, -3634, -7789
-4466, -581, -1402, 6506, -4116, -6315
-3970, -150, -1324, 5749, -4186, -4078
-3515, 179, -1231, 4889, -3109, -1961
-3103, 461, -1163, 2784, -2365, -630
-2746, 659, -1140, -570, -2063, 292
-2424, 721, -1085, -2984, -968, 928
-2162, 708, -915, -3470, 1064, 1798
-1991, 698, -659, -3030, 3261, 3386
-1848, 669, -310, -2836, 4274, 5315
-1889, 503, 311, -1819, 5249, 7299
-2125, 211, 1074, -145, 4107, 8356
-2340, -72, 1845, 692, 1447, 8376
-2474, -384, 2551, 182, 609, 9398
-2678, -753, 3318, -4150, 1153, 10253
-3068, -1499, 4102, -8196, -822, 9066
-3432, -2706, 4816, -4266, -4339, 8558
-3699, -3890, 5335, 3961, -5838, 8805
-3946, -4618, 5673, 4550, -7001, 7402
-4135, -5193, 5786, -1875, -9311, 3328
-4301, -5838, 5629, -4463, -10451, -43
-4365, -6399, 5251, -925, -11355, -2091
-4352, -6622, 4749, 4384, -11611, -3135
-4266, -6530, 4208, 6797, -11895, -3569
-4146, -6262, 3693, 5819, -11844, -3900
-4034, -5958, 3196, 2921, -12213, -4699
-3844, -5749, 2648, 497, -13126, -5733
-3553, -5640, 2105, 185, -13110, -7080
-3292, -5564, 1604, 1922, -11954, -8445
-3049, -5378, 1160, 2834, -10953, -9850
-2800, -5076, 756, 1826, -10349, -11536
-2529, -4744, 370, 221, -9576, -13254
-2275, -4441, 0, 431, -8245, -14423
-2011, -4114, -390, 2336, -6534, -14928
-1716, -3674, -718, 3221, -4464, -15062
-1457, -3085, -954, 1728, -2332, -15539
-1277, -2406, -1176, -1046, -1467, -16552
-1144, -1784, -1417, -2197, -546, -16392
-1033, -1143, -1703, -962, 1219, -15058
-833, -356, -1922, 645, 3339, -13044
-635, 459, -2037, 221, 6322, -9876
-510, 1094, -1982, -2043, 8378, -6221
-526, 1459, -1775, -4105, 9430, -4893
-643, 1674, -1443, -4217, 9949, -4309
-823, 1859, -983, -3229, 10788, -2433
-1018, 2040, -405, -1582, 11605, -810
-1221, 2197, 333, 1581, 11871, -163
-1412, 2556, 1326, 5754, 13437, -125
-1650, 3162, 2370, 7477, 13682, 1437
-1927, 3708, 3388, 5576, 12246, 5047
-2117, 4036, 4466, 3194, 11016, 6817
-2450, 4280, 5421, 267, 10342, 8644
-2674, 4154, 5998, -6268, 9148, 12984
-2903, 3000, 6443, -7756, 8606, 16020
-2998, 1316, 6838, 113, 7530, 14653
-3054, 63, 7265, 4280, 6416, 10342
-3005, -830, 7503, -977, 2073, 6247
-2769, -1669, 7455, -6219, -1113, 3376
-2470, -2501, 7164, -5498, -2358, 1472
-2175, -3062, 6714, -1024, -2897, -223
-1836, -3152, 6182, 1445, -2912, -1761
-1512, -2900, 5703, 557, -2180, -2554
-1319, -2531, 5275, -1237, -1441, -2439
-1229, -2178, 4880, -2680, -1375, -1768
-1140, -1923, 4560, -3042, -1412, -1482
-1047, -1720, 4326, -1335, -652, -1700
-1008, -1438, 4127, 266, -35, -1902
-1020, -1069, 3966, -316, 239, -1838
-1078, -759, 3790, -2498, -365, -1718
-1143, -581, 3562, -4144, -824, -1579
-1204, -475, 3260, -5220, -752, -1782
-1263, -385, 2916, -6289, -180, -2055
-1341, -337, 2548, -7425, 662, -1918
-1380, -335, 2167, -7406, 1373, -1533
-1331, -301, 1823, -6571, 2458, -1471
-1298, -171, 1533, -6007, 4237, -1101
-1332, -10, 1293, -6566, 5224, 430
-1413, -31, 1059, -7180, 5184, 2807
-1407, -236, 893, -5541, 5059, 4695
-1371, -394, 846, -2834, 6948, 4695
-1516, -373, 857, -3897, 9549, 5328
-1834, -372, 881, -9222, 10266, 7668
-2189, -704, 865, -13393, 9367, 10030
-2447, -1344, 906, -12904, 8320, 10573
