-4910, -6487, 1230, 7050, -6729, -12342
-5483, -6958, 1462, 6020, -7629, -16361
-6145, -7288, 1612, 4730, -9105, -18665
-6876, -7577, 1691, 3724, -10733, -20568
-7600, -7856, 1720, 3984, -12318, -22430
-8323, -8010, 1682, 4777, -13122, -24505
-9012, -8094, 1508, 5288, -14665, -25645
-9508, -8147, 1350, 5899, -14746, -26215
-9912, -8145, 1210, 7320, -13754, -26879
-10203, -8040, 1053, 8260, -13826, -27629
-10245, -7795, 869, 9161, -14418, -28004
-10072, -7421, 669, 10036, -14528, -27772
-9753, -6911, 537, 9751, -13086, -26619
-9395, -6324, 500, 7826, -11260, -25274
-9029, -5958, 405, 6622, -11699, -23728
-8659, -5748, 299, 9539, -12839, -22849
-8290, -5380, 138, 14384, -14198, -23302
-7896, -4746, -74, 15746, -15709, -22732
-7513, -3998, -298, 12873, -16883, -20955
-7090, -3321, -494, 7877, -17665, -19899
-6693, -2815, -672, 4824, -17934, -20497
-6337, -2403, -867, 4328, -18330, -21615
-6038, -2010, -1051, 5111, -17682, -21921
-5870, -1609, -1197, 6233, -16841, -21245
-5849, -1186, -1358, 5883, -17641, -21425
-5887, -693, -1604, 3632, -19340, -23066
-5904, -168, -1894, 1440, -19741, -24250
-5944, 444, -2229, 834, -18811, -24837
-5917, 1103, -2555, 430, -17049, -23777
-5816, 1690, -2756, 603, -13442, -19659
-5697, 2151, -2855, 205, -10146, -15776
-5494, 2503, -2870, -1668, -8847, -14712
-5200, 2711, -2786, -2409, -6896, -14729
-4948, 2829, -2626, -289, -5086, -14255
-5002, 3180, -2503, 2153, -6423, -15246
-5559, 4031, -2737, 3447, -12152, -19383
-6366, 5471, -3585, 5018, -18471, -22321
-6359, 6730, -4492, 6387, -17457, -15037
-5277, 7200, -5081, 9411, -2268, 4158
-4760, 6960, -4960, 3985, 11545, 14455
-4626, 5926, -4423, -3707, 12220, 12514
-4469, 4590, -3910, -2976, 9300, 6216
-4256, 3644, -3579, 3053, 5196, -155
-4178, 3557, -3528, 9068, 2814, -3766
-4120, 3983, -3678, 9423, 1701, -3092
-4219, 4507, -3961, 7061, 2338, 2508
-4410, 4890, -4302, 2749, 1788, 7780
-4538, 4940, -4589, 729, 2624, 10507
-4642, 4790, -4845, 2304, 5399, 12567
-4735, 4605, -5057, 3851, 8141, 14523
-4902, 4454, -5210, 3732, 10448, 15312
-5105, 4281, -5308, 2751, 12229, 15430
-5277, 4100, -5389, 2340, 13956, 16370
-5345, 3918, -5456, 1325, 15957, 17606
-5422, 3659, -5451, 314, 19475, 19329
-5646, 3334, -5433, -809, 22256, 20901
-5996, 2813, -5215, -2500, 24578, 22722
-6475, 2142, -4772, -2822, 27014, 23210
-6950, 1337, -4272, -1345, 30575, 20953
-7601, 429, -3584, 3079, 32756, 18450
-8316, -251, -2620, 7793, 32756, 13768
-8711, -490, -1547, 9153, 32756, 9977
-8776, -377, -567, 6371, 32756, 10593
-8485, -395, 215, 73, 32494, 14046
-7799, -923, 1107, -2893, 24577, 13359
-6614, -1955, 2055, 657, 20085, 8087
-5388, -2757, 3005, 11241, 22470, -1754
-4623, -2449, 3970, 20222, 24057, -7156
-4254, -1003, 5215, 13936, 18331, -6084
-3337, 310, 6559, 239, 11557, -3615
-2474, 735, 7901, -1067, 13200, 924
-2023, 971, 8939, 180, 10958, 2960
-1639, 1169, 9780, -2379, 3278, 789
-1086, 1044, 10252, -64, 44, -75
-732, 1022, 10174, 2474, -1938, 937
-419, 1144, 9715, -1864, -5404, -141
-143, 1136, 9005, -5774, -6753, -891
