-3665, -3014, -1737, 12483, 3899, -2979
-3754, -3397, -2017, 16414, 5416, -4662
-3855, -3638, -2359, 17268, 6161, -6128
-3887, -3781, -2548, 15132, 6772, -7158
-3902, -4010, -2739, 13239, 7211, -9114
-3812, -4189, -2998, 16218, 9555, -9229
-3704, -4200, -3311, 16578, 11244, -9977
-3599, -4192, -3594, 14016, 11235, -11126
-3529, -4231, -3844, 12292, 11280, -11486
-3420, -4322, -4140, 13485, 12260, -11587
-3369, -4281, -4328, 15164, 14926, -11690
-3489, -4263, -4479, 15069, 16780, -11536
-3645, -4356, -4524, 14662, 15462, -11600
-3706, -4429, -4405, 15235, 13526, -11971
-3815, -4333, -4188, 14751, 12191, -12408
-3937, -4119, -3704, 15567, 8125, -14668
-4011, -4024, -3209, 10818, 7226, -16812
-4040, -3920, -2551, 9306, 4120, -18135
-4045, -3807, -1970, 7354, 1414, -19739
-4007, -3619, -1429, 4170, -819, -20883
-3937, -3545, -925, 1932, -1686, -21561
-3885, -3681, -539, 2998, -2004, -21230
-3787, -3824, -142, 5710, -3825, -19768
-3715, -3850, 81, 8466, -3960, -19364
-3554, -3839, 167, 8566, -6588, -19113
-3216, -3835, 64, 9230, -8792, -19279
-2664, -3706, -251, 10770, -9550, -18510
-1891, -3521, -778, 11927, -8908, -17537
-847, -3090, -1383, 11769, -5869, -18396
239, -2374, -1863, 10170, -2645, -19880
1115, -1450, -2173, 8847, -193, -20305
1687, -375, -2379, 7517, 2590, -18841
1985, 782, -2372, 7177, 6220, -14189
2059, 1805, -2110, 9980, 8624, -8176
2016, 2571, -1669, 13478, 8778, -1954
1895, 3375, -1143, 13182, 7609, 1104
1733, 4064, -487, 7172, 4876, 738
1605, 4249, 201, 2272, 2528, 1079
1547, 4012, 746, 1472, 959, 2612
1568, 3773, 1131, 1375, -1187, 3094
1679, 3623, 1342, -605, -3586, 2760
1873, 3349, 1392, -2947, -5391, 2326
2120, 2916, 1371, -3422, -5853, 2526
2349, 2472, 1337, -2373, -4855, 3665
2516, 2158, 1331, -1494, -3758, 4879
2619, 1948, 1355, -1354, -3959, 5608
2703, 1794, 1332, -1838, -5978, 5470
2736, 1494, 1273, -2238, -8652, 6069
2759, 1000, 1246, 302, -9409, 8477
2738, 470, 1238, 5412, -7961, 11434
2704, 111, 1155, 10404, -7132, 14213
2656, -30, 1010, 12704, -7278, 16370
2563, -8, 892, 12212, -7004, 17377
2379, 32, 827, 10190, -6862, 18221
2210, -148, 609, 8748, -8785, 20335
2098, -505, 312, 9230, -10182, 22476
2002, -780, 56, 11626, -8892, 23536
1812, -878, -140, 12468, -6677, 24208
1501, -1177, -461, 10949, -6550, 27192
1190, -1610, -802, 7231, -6508, 30223
932, -1975, -1038, 3720, -4923, 29811
727, -2265, -1180, 3718, -2225, 26277
465, -2382, -1287, 5984, 1735, 22405
-48, -2391, -1449, 4334, 5252, 22043
-781, -2637, -1541, -2328, 5179, 24306
-1342, -2993, -1432, -4501, 3304, 21475
-1800, -3172, -1312, -3539, 1748, 16426
-2244, -3069, -1215, -2735, 944, 14438
-2860, -2906, -1188, -7088, 15, 16250
-3466, -3046, -1199, -10442, -3525, 17514
-4030, -3315, -1261, -8256, -5173, 17256
-4493, -3520, -1336, -2582, -4679, 17210
-4911, -3545, -1428, 1615, -2418, 18206
-5245, -3474, -1531, 1112, 197, 19089
-5433, -3479, -1506, -1504, 3581, 19387
-5477, -3616, -1330, -1170, 8453, 17903
-5517, -3755, -1078, -571, 9509, 13646
-5470, -3794, -816, -1324, 6413, 7133
-5349, -3705, -578, -2648, 3551, 1492
-5209, -3424, -375, -3846, 1459, -1338
-5078, -3043, -229, -5295, 43, -2574
-4951, -2695, -195, -7607, -1129, -3331
-4788, -2483, -239, -9344, -2371, -3691
-4609, -2371, -311, -8271, -1877, -3093
-4426, -2307, -398, -5632, -742, -2378
-4290, -2171, -482, -3471, 273, -2351
-4187, -1968, -561, -2844, 413, -2584
-4100, -1766, -639, -2906, -131, -2305
-4007, -1618, -732, -2614, -489, -1745
-3919, -1515, -822, -1579, -590, -1625
-3858, -1438, -906, -249, -572, -1702
-3812, -1341, -988, 862, -521, -1706
-3767, -1217, -1063, 1041, -422, -1614
-3726, -1090, -1128, 631, -269, -1368
-3693, -994, -1173, 225, -13, -1172
-3665, -930, -1200, 94, 205, -907
-3651, -884, -1219, 218, 357, -636
-3649, -838, -1225, 159, 240, -555
-3642, -806, -1233, -78, 2, -424
-3628, -791, -1240, -285, -97, -208
-3616, -809, -1247, -283, -44, 90
-3609, -841, -1244, -13, 115, 61
-3614, -855, -1233, 102, 236, 89
-3621, -879, -1224, 30, 168, 219
-3624, -918, -1209, -47, 31, 190
-3626, -954, -1194, 70, 41, 59
-3637, -968, -1172, 112, 91, -76
-3650, -971, -1153, -20, 65, -64
-3655, -983, -1138, -126, -59, 18
-3656, -1009, -1126, 75, -11, 150
-3648, -1038, -1114, 425, 93, 96
-3645, -1045, -1099, 641, 142, -17
-3644, -1038, -1087, 580, 66, -52
-3643, -1028, -1081, 400, -90, -55
-3642, -1027, -1086, 313, -190, -58
-3638, -1028, -1094, 350, -185, -106
-3633, -1021, -1101, 285, -152, -226
-3624, -1005, -1109, 25, -223, -333
-3619, -990, -1118, -226, -235, -408
-3620, -989, -1125, -170, -184, -310
-3620, -999, -1133, 111, -151, -193
-3613, -997, -1139, 289, -140, -205
-3604, -976, -1143, 249, -126, -234
-3602, -951, -1143, 117, -85, -150
-3603, -940, -1137, 39, -55, -11
-3605, -943, -1139, 54, -41, 40
-3604, -957, -1138, 69, -85, 25
-3600, -973, -1142, 106, -37, -36
-3596, -984, -1147, 106, 0, -108
-3594, -995, -1151, 66, 23, -216
-3595, -991, -1156, -6, 79, -310
-3604, -967, -1155, -205, 98, -329
-3613, -951, -1147, -354, 111, -87
-3615, -955, -1134, -321, 58, 156
-3607, -983, -1128, -116, 10, 275
-3602, -1014, -1124, 194, 79, 240
-3604, -1027, -1119, 313, 100, 121
-3611, -1027, -1113, 220, 45, 124
-3613, -1032, -1108, 69, -14, 130
-3608, -1048, -1106, -22, -19, 86
-3600, -1063, -1102, 23, 46, -30
-3600, -1068, -1097, 92, 55, -124
-3612, -1060, -1095, 106, -16, -109
-3612, -1055, -1102, 72, -121, -129
-3607, -1051, -1116, 77, -49, -178
-3602, -1040, -1124, 91, 80, -187
-3604, -1023, -1122, 92, 226, -121
-3608, -1009, -1118, -10, 151, -42
-3606, -1009, -1115, -61, 32, 34
-3599, -1014, -1119, 9, 27, 67
-3599, -1021, -1121, 66, 33, 101
-3604, -1032, -1122, 146, 87, 151
