-3549, -1712, -752, 12185, 5907, -1141
-3708, -1937, -747, 13051, 5306, -2122
-3808, -2316, -837, 12375, 3679, -2424
-3876, -2796, -994, 12778, 2720, -3527
-3897, -3198, -1187, 12585, 1794, -6102
-3854, -3586, -1471, 11667, 2209, -8915
-3836, -4037, -1788, 12285, 4809, -10653
-3890, -4389, -1986, 13960, 6613, -11392
-4014, -4590, -2110, 14073, 6339, -12557
-4124, -4823, -2190, 12131, 3890, -13956
-4210, -5028, -2238, 10436, 3220, -15222
-4220, -5205, -2316, 8047, 3626, -16612
-4258, -5486, -2382, 6165, 5045, -18016
-4396, -5874, -2405, 6569, 5706, -19343
-4567, -6131, -2410, 8835, 6022, -20755
-4706, -6172, -2466, 9486, 7793, -21965
-4864, -5961, -2473, 7704, 9640, -23224
-5039, -5619, -2340, 3804, 9407, -25048
-5140, -5276, -2120, 535, 7640, -26599
-5129, -5077, -1918, -410, 5683, -27368
-5031, -4900, -1749, -1388, 4794, -28281
-4851, -4731, -1458, -3254, 5121, -29990
-4731, -4698, -964, -2427, 5337, -29779
-4654, -4653, -523, 2185, 3163, -28054
-4420, -4343, -282, 5102, 290, -25036
-3987, -3966, -109, 4764, -1253, -22597
-3391, -3655, -80, 5896, -1201, -21112
-2728, -3225, -197, 8695, -958, -19665
-2065, -2600, -464, 10835, -1105, -17854
-1404, -1800, -754, 11544, -151, -16142
-814, -837, -975, 11803, 1558, -13900
-270, 295, -1090, 12355, 3013, -10656
203, 1379, -1089, 13828, 3172, -5879
575, 2347, -1014, 15081, 2515, -1515
904, 3203, -879, 12707, 672, 673
1260, 3847, -694, 6536, -1324, 273
1634, 4099, -495, 1138, -2235, 79
2015, 3916, -301, -385, -2375, 1532
2362, 3593, -107, 486, -1855, 2877
2669, 3285, 56, 193, -2196, 3410
2938, 2914, 178, -795, -2772, 3818
3160, 2440, 240, -995, -3009, 4327
3321, 2007, 277, -905, -2610, 4562
3392, 1713, 319, -1336, -1704, 4572
3351, 1415, 477, -1119, -1539, 4681
3206, 1136, 659, 1166, -2605, 5409
3008, 984, 822, 3082, -4289, 6914
2785, 909, 942, 3337, -5971, 8362
2540, 863, 983, 2465, -7236, 9480
2302, 783, 925, 1064, -8870, 10660
2074, 604, 835, 852, -10118, 11860
1831, 331, 751, 2497, -10393, 13774
1546, 10, 626, 4362, -11027, 15728
1276, -317, 430, 5450, -13424, 16966
1048, -634, 190, 6840, -15275, 17551
772, -912, -94, 9595, -15913, 18756
424, -1332, -612, 12357, -18172, 21907
194, -1783, -1245, 13539, -19315, 24420
64, -2063, -1654, 13493, -16993, 24087
-210, -2317, -1891, 13470, -13472, 24443
-741, -2952, -2263, 14432, -13569, 29117
-1103, -3549, -2524, 15679, -12074, 28738
-1348, -3719, -2508, 14701, -7608, 22487
-1674, -3618, -2345, 11531, -3450, 18375
-2326, -3708, -2268, 5876, 22, 21441
-2976, -4061, -2060, 2290, 2151, 23914
-3570, -4414, -1839, 2983, 3208, 21708
-3969, -4674, -1671, 6427, 3649, 18431
-4225, -4699, -1540, 10433, 5775, 16655
-4447, -4490, -1390, 11658, 8628, 16221
-4678, -4220, -1173, 9761, 10555, 15649
-4871, -4004, -902, 6711, 11207, 13739
-4979, -3879, -636, 3877, 10585, 11331
-4991, -3852, -404, 2561, 9179, 8926
-4925, -3590, 5, -454, 9606, 6051
-5142, -3333, 481, -12224, 2601, 373
-5037, -3414, 738, -20747, -6780, -5315
-4794, -3442, 686, -15641, -5825, -4278
-4541, -3256, 447, -8027, -4028, -3414
-4297, -2966, 184, -2970, -1999, -2140
-4099, -2654, 2, -556, 242, -828
-3971, -2381, -100, 932, 1261, -90
-3891, -2147, -165, 2004, 1444, -78
-3840, -1939, -227, 2254, 1156, -303
-3826, -1728, -316, 1268, 734, -594
-3814, -1574, -440, -303, 57, -822
-3788, -1488, -560, -799, 93, -676
-3753, -1429, -651, -231, 164, -401
-3749, -1376, -733, 491, 27, -326
-3750, -1321, -783, 891, -435, -248
-3732, -1266, -836, 912, -849, -429
-3711, -1212, -902, 545, -1034, -633
-3684, -1162, -963, 359, -903, -730
-3659, -1121, -1016, 407, -497, -700
-3644, -1084, -1049, 540, -49, -540
-3631, -1047, -1072, 529, 126, -362
-3619, -1018, -1082, 446, 151, -266
-3613, -1000, -1078, 452, 248, -91
-3610, -991, -1058, 448, 312, 103
-3608, -991, -1039, 302, 312, 125
-3609, -992, -1015, 24, 214, 65
-3617, -996, -993, -253, 183, 52
-3624, -1018, -966, -305, 207, 157
-3635, -1045, -942, -180, 261, 210
-3649, -1060, -921, -207, 133, 150
-3654, -1065, -903, -445, -29, 82
-3654, -1078, -889, -584, -27, 85
-3648, -1103, -877, -537, -17, 75
-3647, -1118, -864, -440, -50, -16
-3647, -1128, -852, -431, -154, -32
-3647, -1137, -848, -383, -187, -3
-3644, -1143, -851, -286, -144, 61
-3638, -1150, -859, -255, -124, 96
-3632, -1150, -861, -224, -76, 46
-3628, -1144, -857, -286, -52, 15
-3631, -1141, -856, -424, -131, -12
-3633, -1146, -859, -489, -246, -37
-3628, -1151, -870, -387, -276, -71
-3623, -1154, -878, -251, -239, -56
-3622, -1148, -887, -190, -161, -48
-3621, -1141, -893, -273, -163, -60
-3620, -1138, -901, -289, -160, -51
-3621, -1142, -909, -167, -127, -10
-3621, -1141, -914, -34, -102, 9
-3621, -1136, -914, -67, -101, -15
-3622, -1133, -918, -242, -146, -60
-3620, -1139, -919, -316, -138, -91
-3618, -1142, -924, -211, -69, -131
-3620, -1135, -923, -154, -6, -120
-3625, -1124, -918, -239, 9, -72
-3629, -1113, -914, -385, -44, -65
-3627, -1117, -911, -425, -87, -36
-3618, -1124, -906, -238, -22, -18
-3616, -1120, -903, -79, 13, 47
-3617, -1114, -904, -80, 1, 99
-3618, -1116, -906, -133, -36, 143
-3617, -1123, -903, -94, -15, 155
-3621, -1132, -900, -19, 17, 149
-3625, -1136, -897, -40, -7, 102
-3624, -1137, -894, -146, -47, 45
-3620, -1139, -895, -141, -11, 12
-3615, -1139, -896, -30, 33, 14
-3621, -1132, -894, 73, 80, 104
-3630, -1128, -892, 37, 59, 145
-3631, -1127, -893, -143, -36, 93
-3629, -1130, -894, -237, -41, 14
-3629, -1135, -898, -163, -19, 26
-3631, -1139, -896, 56, 68, 91
-3637, -1140, -893, 127, 68, 103
-3642, -1130, -885, 42, -5, 38
-3642, -1123, -882, -128, -46, 9
-3640, -1129, -881, -136, -47, 17
-3635, -1138, -882, -52, -30, -11
