-3404, -3320, -372, 12925, 3511, 3149
-3617, -3807, 67, 9444, 646, 496
-3886, -4328, 617, 4076, -1645, -4198
-4198, -4904, 1075, 1148, -4452, -7513
-4514, -5467, 1452, 1581, -4430, -8689
-4985, -5859, 1834, -603, -2948, -9819
-5713, -6429, 2033, -3899, -3826, -11311
-6526, -7282, 1972, -1616, -6625, -13386
-7398, -7908, 1739, 4428, -8420, -17337
-8324, -8110, 1350, 8142, -10865, -21285
-9244, -8015, 856, 8206, -13456, -23421
-9955, -7741, 321, 6612, -15403, -24939
-10445, -7400, -107, 4228, -15827, -26870
-10851, -7217, -404, 2963, -15644, -28807
-11220, -7211, -561, 4221, -15116, -30839
-11511, -7078, -636, 6637, -14055, 32675
-11737, -6807, -676, 6091, -13678, 32650
-11900, -6608, -595, 3708, -13587, 32650
-11916, -6452, -465, 3773, -12976, 32650
-11764, -6103, -393, 6001, -12377, 32650
-11458, -5467, -410, 7304, -12627, 32650
-11033, -4659, -449, 6720, -13798, 32650
-10493, -3850, -513, 5402, -14973, 32650
-9857, -3098, -645, 4815, -15087, -32703
-9288, -2445, -702, 4378, -14532, -30374
-8832, -1884, -811, 3310, -14924, -29968
-8378, -1400, -937, 1503, -14609, -29843
-7988, -991, -1010, 1089, -12217, -29300
-7868, -645, -1030, 2077, -10773, -29309
-7883, -274, -1054, 1929, -11452, -29050
-7903, -37, -1115, 1286, -12177, -27194
-7905, 51, -1172, 1820, -12757, -25893
-7874, 256, -1172, 2030, -11816, -26496
-7990, 624, -1111, 2244, -8759, -27365
-8593, 1470, -1170, 1310, -9462, -29497
-9618, 3495, -1715, -613, -15581, 32650
-10635, 6971, -3086, -6721, -19267, 32650
-9742, 8771, -3908, -4832, -12231, -12996
-8567, 8889, -3804, 3680, 10937, 17748
-7914, 7154, -2858, 4910, 15006, 20762
-7212, 5222, -1798, 5530, 14063, 13113
-6412, 3614, -1083, 4092, 6257, 3718
-5491, 2746, -722, 4638, 1895, -1581
-4926, 2762, -824, 7130, 4008, -3237
-4611, 3233, -1196, 6441, 4189, -1478
-4383, 3692, -1542, 5524, 5191, 2960
-4256, 3820, -1850, 4460, 4382, 5378
-4130, 3803, -2138, 5189, 2714, 4724
-3880, 3757, -2467, 7309, 1791, 4871
-3636, 3721, -2768, 7839, 1624, 6434
-3418, 3662, -3007, 7021, 2368, 7719
-3370, 3627, -3276, 6037, 2264, 7637
-3495, 3658, -3591, 5515, 493, 6821
-3720, 3763, -3995, 5544, -1246, 7010
-4015, 3924, -4531, 5370, -2774, 7679
-4329, 4053, -5157, 4992, -2529, 8844
-4552, 4077, -5753, 4723, 368, 10950
-4638, 3952, -6238, 4094, 8328, 14836
-4805, 3705, -6506, 2349, 18463, 17995
-5200, 3292, -6482, 819, 27138, 19210
-5904, 2758, -6091, 1083, 31823, 18917
-6479, 2167, -5420, 1754, 32756, 17284
-6925, 1728, -4737, 2357, 32756, 15363
-7379, 1472, -4269, 1186, 32756, 14244
-7764, 1197, -3898, -1809, 32756, 15134
-8276, 775, -3383, -3166, 32756, 17906
-8992, 437, -2735, -1835, 32756, 17504
-9461, 134, -2050, -2955, 32756, 12918
-9666, -269, -1350, -2165, 32756, 10329
-9499, -741, -526, 4696, 30378, 10381
-8975, -904, 610, 14881, 30546, 7686
-8477, -560, 2076, 17493, 27510, 2790
-7512, -245, 4020, 12265, 21765, 589
-6358, -185, 5980, 6496, 19340, 2689
-5599, 226, 7691, 416, 13659, -3308
-4838, 518, 8848, 755, 7022, -5077
