-6108, -3376, 235, 7574, -12494, -9305
-5785, -3112, -61, 7754, -12799, -8974
-5362, -2739, -468, 9574, -12089, -9496
-4858, -2124, -893, 9533, -10397, -9455
-4314, -1331, -1339, 6996, -8585, -8078
-3639, -622, -1740, 4163, -6206, -5432
-2980, -129, -1952, 4025, -2127, -2013
-2508, 159, -1966, 4493, 662, 420
-2078, 309, -1758, 2856, 527, 158
-1723, 386, -1358, 290, 905, -978
-1485, 422, -802, -103, 2297, -95
-1362, 398, -232, 1179, 2656, 2135
-1297, 455, 409, 1783, 1734, 2623
-1238, 596, 1094, 558, 1347, 2957
-1186, 661, 1780, -286, 1331, 4892
-1160, 691, 2451, 347, 2107, 6619
-1295, 652, 3269, 1743, 2188, 8075
-1573, 528, 4108, 2414, -191, 9353
-1740, 245, 4860, 2184, -2851, 10947
-1814, -185, 5479, 1419, -2993, 11328
-1968, -786, 6112, 828, -2198, 11139
-2215, -1536, 6769, 550, -3365, 9611
-2527, -2522, 7377, 140, -5919, 8510
-2859, -3453, 7684, 524, -9899, 5692
-3062, -4186, 7651, 799, -13209, 2302
-3201, -4734, 7371, 585, -13918, 1357
-3270, -5266, 6860, -438, -15424, -525
-3276, -5709, 6174, 317, -16084, -3268
-3214, -5864, 5295, 1080, -16449, -5949
-3064, -5672, 4306, -440, -16449, -8775
-2825, -5328, 3279, -3036, -15356, -10883
-2503, -4952, 2301, -4810, -13379, -12127
-2128, -4565, 1451, -5101, -10798, -13219
-1772, -4133, 729, -3973, -8472, -14103
-1433, -3605, 134, -3195, -6393, -14683
-1150, -2898, -367, -3970, -4495, -15417
-905, -2157, -812, -5444, -3057, -15362
-695, -1503, -1170, -5592, -842, -13630
-500, -771, -1506, -5281, 729, -11724
-253, -122, -1782, -4289, 1840, -10746
-6, 466, -1883, -1673, 5307, -8558
-46, 1121, -1841, -1668, 8878, -6100
-128, 1711, -1766, -5999, 8899, -3817
-18, 1895, -1562, -7720, 8928, -2341
11, 1877, -1072, -2726, 12912, -1700
-331, 2217, -581, 156, 14309, -1396
-540, 2476, -77, -642, 12667, 36
-767, 2654, 722, 2693, 16015, 1012
-1303, 3221, 1665, 2235, 16922, 1052
-1723, 3635, 2516, -3000, 12059, 4387
-1796, 3519, 3670, 448, 12360, 7226
-2096, 3665, 4875, 5957, 14796, 9216
-2509, 3977, 5878, -1739, 11137, 11840
-2698, 3484, 6717, -9824, 7915, 15013
-2785, 2069, 7421, -7230, 6820, 16308
-2857, 585, 7854, 500, 4248, 12619
-2825, -470, 7979, 5488, 1406, 8444
-2668, -991, 7932, 4643, 452, 6313
-2551, -1351, 7766, -109, -189, 5554
-2344, -1842, 7417, -3789, -1311, 5177
-2168, -2328, 6960, -3479, -2169, 3682
-2009, -2628, 6415, -1422, -3374, 1029
-1789, -2670, 5859, -15, -3535, 144
-1509, -2593, 5310, -182, -3006, -165
-1255, -2463, 4812, -885, -2251, -1028
-1075, -2279, 4394, -1309, -1863, -2050
-968, -2079, 4056, -867, -1983, -2655
-891, -1875, 3749, 446, -2008, -2616
-815, -1597, 3434, 746, -1856, -2483
-725, -1232, 3140, -849, -1495, -2852
-626, -930, 2903, -2116, -578, -2638
-596, -699, 2701, -1747, 562, -1933
-616, -496, 2499, -1752, 844, -1451
-662, -230, 2237, -3137, 684, -1656
-701, 29, 1940, -5001, 764, -1488
-747, 247, 1626, -6432, 1806, -508
-836, 501, 1243, -8460, 2362, 747
-833, 495, 852, -8697, 3178, 2372
-746, 418, 670, -5295, 7831, 3792
-1013, 438, 573, -4060, 11345, 5078
-1452, 440, 569, -7752, 11097, 6191
-1895, 205, 612, -10663, 10705, 6961
-2275, -246, 677, -10376, 10839, 8297
-2649, -680, 833, -8812, 12294, 8580
-3076, -1001, 952, -9479, 12279, 8100
-3469, -1320, 1018, -11874, 11708, 7749
-3746, -1634, 1018, -13610, 12493, 8491
-4097, -1870, 941, -16787, 13753, 8967
-4535, -2067, 812, -20406, 13697, 8817
-4826, -2453, 725, -20918, 12165, 8032
-5085, -3113, 810, -14630, 12316, 8708
-5432, -3600, 900, -5581, 12229, 9258
-5730, -3740, 926, -1264, 9277, 8407
-5844, -3713, 836, -2995, 5093, 7146
-5672, -3756, 698, -7280, 3168, 5976
-5455, -3878, 589, -10037, 3816, 4494
-5256, -3994, 467, -10700, 4093, 2534
-5086, -4114, 290, -9514, 3915, 734
-4913, -4202, 86, -6460, 3832, -207
-4738, -4156, -97, -2935, 3660, -634
-4557, -3960, -254, -541, 3213, -1101
-4482, -3642, -281, -820, 2769, -1529
-4479, -3310, -146, -5813, 20, -3279
-4423, -3254, -19, -7788, -3858, -4237
-4301, -3027, 32, -2746, -4050, -2974
-4123, -2700, -15, -711, -2283, -1252
-3987, -2427, -76, -1228, -1484, -265
-3882, -2200, -194, -445, 288, -216
-3807, -1981, -338, -442, 92, -106
-3753, -1799, -477, -119, 388, 31
-3714, -1656, -636, 46, -37, -30
-3674, -1539, -794, -70, -130, -240
-3644, -1436, -934, -386, 88, -179
-3625, -1360, -1031, -592, 149, -53
-3624, -1298, -1092, -532, 71, -101
-3629, -1249, -1124, -616, -228, -136
-3625, -1216, -1128, -804, -370, -163
-3622, -1198, -1112, -1007, -390, -265
-3612, -1186, -1092, -914, -391, -330
-3595, -1180, -1086, -864, -232, -390
-3583, -1172, -1081, -728, -49, -398
-3582, -1163, -1078, -497, 89, -403
-3586, -1155, -1083, -301, 81, -361
-3583, -1145, -1091, -202, 13, -319
-3574, -1142, -1114, -253, -49, -277
-3567, -1134, -1132, -372, -48, -253
-3559, -1127, -1146, -447, -88, -240
-3560, -1130, -1159, -338, -169, -132
-3556, -1144, -1172, -205, -173, -42
-3523, -1160, -1165, -124, -77, 0
-3547, -1133, -1152, -160, -10, -87
-3569, -1093, -1132, -283, -78, -44
-3576, -1076, -1115, -329, -95, 58
-3581, -1082, -1100, -360, -257, 144
-3585, -1108, -1109, -354, -362, 222
-3588, -1151, -1140, -247, -277, 186
-3582, -1196, -1181, 19, -13, 161
-3576, -1226, -1197, 265, 334, 49
-3578, -1221, -1190, 469, 373, -8
-3584, -1193, -1176, 522, 214, -59
-3584, -1143, -1161, 266, 137, -128
-3584, -1098, -1151, -198, -1, -158
-3578, -1086, -1144, -454, -151, -113
-3576, -1112, -1141, -431, -184, -43
-3565, -1156, -1137, -301, -71, 8
-3557, -1193, -1130, -160, 80, -26
-3560, -1194, -1126, 169, 132, 7
-3556, -1173, -1135, 232, 117, 43
-3563, -1150, -1138, 251, 209, 72
-3576, -1127, -1135, 250, 169, 103
-3583, -1108, -1141, 152, 53, 77
-3585, -1093, -1155, -48, 17, 37
-3583, -1091, -1166, -173, -27, 23
-3579, -1101, -1169, -163, 3, -2
-3575, -1113, -1166, -66, 9, -20
-3571, -1121, -1157, 47, 27, -11
