-5024, -6200, 744, 7444, -3814, -13053
-5643, -6790, 1063, 8758, -5158, -14770
-6424, -7336, 1335, 7933, -7262, -17684
-7384, -7984, 1550, 7773, -8611, -20393
-8604, -8601, 1786, 8769, -9391, -23771
-10053, -9075, 1798, 10323, -12861, -27444
-11559, -9360, 1669, 11329, -17322, -30307
-12788, -9328, 1314, 12672, -21670, -32076
-13620, -8986, 812, 11587, -24849, 32650
-13871, -8471, 208, 9203, -27070, 32650
-13690, -7918, -247, 8197, -25454, 32650
-13412, -7418, -509, 9561, -22141, 32650
-13054, -6894, -781, 11657, -22003, 32650
-12623, -6269, -999, 12139, -23830, 32650
-12072, -5697, -1107, 10359, -24463, 32650
-11397, -5338, -1135, 10600, -22718, 32650
-11017, -5185, -1018, 12398, -22324, -32185
-10863, -4671, -938, 12448, -25150, 32650
-10588, -3795, -1062, 8165, -29068, 32650
-10000, -3052, -1286, 3766, -28711, -29984
-9428, -2439, -1472, 2538, -23829, -25499
-9143, -1898, -1523, 1141, -20798, -24772
-8972, -1458, -1554, -750, -19782, -26367
-8740, -1077, -1600, -427, -18033, -25127
-8549, -665, -1697, -388, -15841, -22401
-8491, -261, -1729, -1941, -14442, -21348
-8461, 169, -1762, -3637, -13693, -22770
-8615, 929, -2027, -5505, -13983, -24121
-9073, 2184, -2722, -9116, -16018, -26475
-9203, 4027, -3465, -7934, -14459, -23933
-8653, 5631, -4014, -3668, 1916, -4531
-8148, 6223, -3985, -6825, 14229, 12994
-7676, 5443, -3164, -6378, 16825, 16323
-7185, 4381, -2237, 1156, 17364, 12451
-6764, 3840, -1782, 6913, 10832, 7567
-6322, 3900, -1880, 7109, 3823, 7204
-6005, 4170, -2343, 5101, -292, 7584
-5814, 4516, -2978, 5857, -899, 7912
-5594, 4859, -3717, 7499, 1445, 11344
-5521, 5118, -4443, 6677, 6159, 15963
-5572, 5176, -5044, 3497, 9334, 18016
-5624, 4970, -5521, 1698, 11723, 18665
-5620, 4540, -5812, 3040, 15252, 20023
-5670, 4012, -5956, 5295, 18891, 20764
-5705, 3474, -6007, 6397, 20852, 19753
-5631, 2940, -5951, 5513, 23569, 19286
-5752, 2377, -5800, 2806, 27847, 19758
-6007, 1693, -5557, 123, 32644, 19197
-6415, 949, -5188, 467, 32756, 17190
-6981, 369, -4748, 3706, 32756, 12462
-7447, -126, -4169, 6050, 32756, 5970
-7698, -245, -3393, 8767, 32756, 2316
-7763, 202, -2615, 5849, 32431, 3126
-7487, 540, -1978, -2897, 25693, 6267
-7066, 323, -1548, -7669, 24038, 9140
-6672, -202, -1150, -7660, 22765, 8097
-6453, -706, -371, -5144, 21017, 4527
-5922, -1310, 888, 1494, 20215, 1579
-5095, -1783, 2430, 12765, 27229, 1829
-5037, -1236, 4120, 14158, 26233, -3972
-4984, -393, 5851, 7215, 13623, -9655
-4469, 551, 7268, 3086, 7750, -5706
-3789, 1195, 8288, -860, 6750, -2266
-3320, 1489, 8999, -848, 6096, -1010
-2955, 1829, 9430, -2922, 1892, -1758
-2492, 1945, 9672, -3381, -1804, -1607
-2123, 1883, 9485, -155, -3363, 511
-1698, 1896, 8931, -2006, -6080, -171
-1246, 1887, 8231, -5139, -6324, -1855
-909, 1777, 7483, -4870, -5728, -1390
-662, 1603, 6635, -2806, -5444, -488
-343, 1453, 5743, -1655, -5072, -512
32, 1362, 4975, -1471, -2848, -685
309, 1277, 4343, -1888, 197, -39
452, 1133, 3834, -2793, 2231, 492
465, 912, 3411, -3705, 3587, 695
457, 624, 3080, -3898, 3714, -270
379, 367, 2852, -3161, 3911, -2269
167, 209, 2700, -2309, 3825, -4090
-182, 136, 2613, -2270, 2206, -4693
-497, -23, 2670, -1027, -1582, -5244
-817, -242, 2741, 3159, -4321, -6324
-1102, -118, 2772, 5754, -5115, -7842
-1192, 241, 2660, 3661, -5950, -7440
-1108, 558, 2403, -84, -5479, -5272
