-4090, -4524, -978, -6752, 207, -14381
-4044, -4862, -1477, -8542, 1942, -16267
-3979, -5079, -2095, -6889, 4138, -18175
-3937, -5099, -2841, -5772, 6191, -20016
-3899, -4899, -3564, -4008, 9775, -19643
-3868, -4501, -4232, -3543, 12890, -18806
-3813, -4021, -4799, -5418, 14511, -18614
-3726, -3479, -5174, -8282, 16754, -18367
-3631, -2925, -5404, -11093, 17787, -17284
-3522, -2383, -5463, -14597, 17428, -16524
-3394, -1914, -5296, -17354, 16045, -14683
-3207, -1671, -4977, -15407, 16334, -9449
-3022, -1604, -4451, -7576, 17073, -2767
-2863, -1507, -3906, -1968, 16194, -1198
-2650, -1379, -3353, -3148, 10774, -2925
-2319, -1421, -2890, -5071, 8340, -2726
-1909, -1647, -2510, -5450, 8076, -1397
-1487, -1876, -2209, -5629, 7827, -2069
-1806, -2509, 1407, 12104, -27787, -1552
-1424, -1940, 722, 4854, -2697, -7632
-703, -1694, -9, -5396, -1664, -2267
-36, -1855, -529, -2598, -276, 430
336, -1840, -1085, 3690, 3661, -1019
669, -1679, -1503, 850, -2806, -156
1022, -1658, -1704, 401, -987, 632
1257, -1665, -1844, 409, -1898, 516
1453, -1652, -2000, 135, -2282, 219
1637, -1658, -2169, 62, -1514, 201
1759, -1689, -2327, -245, -1028, 328
1832, -1711, -2487, -323, -373, 446
1874, -1735, -2640, -253, -329, 197
1926, -1777, -2756, 173, 129, -216
1991, -1860, -2774, 731, 983, -237
1958, -2016, -2709, 2237, 1789, 504
1809, -2197, -2557, 4547, 782, 1124
1635, -2391, -2343, 6781, -1459, 1000
1488, -2565, -2117, 10288, -3146, 665
1326, -2638, -1919, 14211, -3687, 1082
1120, -2612, -1755, 17024, -4194, 2252
913, -2501, -1641, 18522, -4628, 4198
736, -2329, -1540, 19207, -4704, 6130
557, -2155, -1437, 20201, -4176, 8416
288, -2027, -1393, 21876, -3655, 11705
14, -1934, -1394, 23294, -3852, 15537
-231, -1837, -1406, 24464, -3623, 18939
-519, -1621, -1430, 24027, -2186, 21752
-965, -1347, -1485, 17948, -1305, 24234
-1513, -1303, -1520, 6469, -2180, 25527
-1967, -1508, -1470, 415, -2255, 23666
-2559, -1791, -1518, -2236, -510, 22747
-3261, -2094, -1620, -7794, -95, 23318
-3882, -2463, -1674, -11112, -691, 22222
-4430, -2872, -1806, -8947, -2031, 20508
-5037, -3153, -2027, -5948, -1555, 19712
-5528, -3443, -2280, -8402, -1616, 19653
-5702, -3866, -2420, -12813, 904, 17979
-5644, -4382, -2495, -13395, 3493, 14866
-5446, -4810, -2558, -11385, 5138, 9400
-5177, -5052, -2500, -8312, 5141, 3861
-4924, -5041, -2364, -4619, 5600, 609
-4741, -4797, -2213, -2406, 4788, -1235
-4579, -4401, -2065, -1982, 3193, -2324
-4417, -3955, -1939, -2809, 2051, -3089
-4248, -3522, -1831, -4306, 1685, -3698
-4111, -3142, -1736, -5212, 2016, -3822
-4049, -2857, -1574, -4792, 1892, -3030
-4065, -2667, -1367, -2657, 1548, -1654
-4121, -2618, -735, 411, -1597, 109
-4161, -2334, -315, 2212, -4507, -1767
-4038, -2012, -196, -1037, -4277, -1725
-3883, -1791, -201, -2226, -1399, -851
-3817, -1633, -321, -915, 1465, 52
-3766, -1583, -422, -883, 627, 239
-3732, -1579, -510, 1118, 1572, 609
-3726, -1521, -647, 2185, 1094, 525
-3709, -1425, -816, 1663, 537, 63
-3672, -1319, -975, 648, 139, -108
-3634, -1244, -1108, 147, 36, 101
-3595, -1218, -1206, 369, 381, 340
-3564, -1195, -1267, 774, 750, 271
-3558, -1165, -1297, 858, 777, -44
-3575, -1118, -1284, 773, 300, -207
-3587, -1074, -1257, 741, -137, -238
-3595, -1023, -1235, 685, -302, -189
-3606, -974, -1212, 440, -345, -139
-3615, -938, -1177, 73, -243, -147
-3623, -933, -1137, -85, -191, -75
-3630, -951, -1105, -8, -98, -63
-3627, -969, -1085, 17, 15, -86
-3620, -976, -1089, -146, 58, -45
-3603, -997, -1109, -249, 7, 24
-3596, -1037, -1131, -45, 62, 91
-3591, -1070, -1154, 218, 85, 53
-3595, -1080, -1164, 284, 137, -9
-3595, -1074, -1172, 248, 76, -26
-3591, -1062, -1172, 241, 67, -25
-3591, -1050, -1170, 311, 98, -13
-3596, -1034, -1157, 351, 71, -32
-3606, -1014, -1144, 249, 48, -90
-3607, -993, -1139, -62, -26, -101
-3604, -993, -1142, -342, -50, -88
-3600, -1015, -1149, -233, -17, -52
-3594, -1038, -1157, 31, 36, -30
-3591, -1047, -1161, 106, 66, -31
-3593, -1050, -1160, 4, 44, -45
-3592, -1054, -1160, -18, 19, -26
-3591, -1061, -1157, 22, 29, -15
-3589, -1065, -1159, 12, 1, -37
-3588, -1070, -1164, 20, 3, -60
-3587, -1068, -1168, 40, 37, -54
-3588, -1066, -1170, 78, 68, -56
-3589, -1063, -1164, 117, 51, -71
-3591, -1057, -1151, 74, 59, -73
-3588, -1059, -1146, -74, 108, -81
-3590, -1070, -1145, -81, 131, -78
-3587, -1076, -1141, 62, 117, -85
-3584, -1073, -1146, 188, 86, -94
-3581, -1065, -1150, 138, 62, -109
-3584, -1055, -1158, -57, -10, -141
-3587, -1052, -1173, -175, -99, -95
-3585, -1062, -1194, -116, -91, -31
-3577, -1073, -1206, 24, -11, -12
-3571, -1079, -1204, 31, 27, -29
-3569, -1088, -1193, -26, -8, -47
-3568, -1092, -1182, -37, -27, -85
-3568, -1090, -1174, 10, -49, -68
-3573, -1088, -1168, 46, -28, -75
-3580, -1079, -1163, -30, 0, -106
-3584, -1079, -1160, -149, -12, -135
-3589, -1084, -1159, -137, -27, -98
-3589, -1090, -1168, -84, -50, -60
